date,ticker,sector,headline_count,word_count,finance_term_count,sentiment_model,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score
2020-12-07,EA,Comm,1,9,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-07,GE,Industrials,3,26,1,finance_lexicon_baseline,0.038461538461538464,0.9615384615384616,0.0,-1.0
2020-12-07,GS,Financials,12,115,1,finance_lexicon_baseline,0.0,0.9739130434782609,0.02608695652173913,1.0
2020-12-07,INTC,Tech,18,172,4,finance_lexicon_baseline,0.011627906976744186,0.936046511627907,0.05232558139534884,0.6363636363636364
2020-12-07,KO,Consumer,6,66,0,finance_lexicon_baseline,0.0,0.9848484848484849,0.015151515151515152,1.0
2020-12-07,MRK,Healthcare,1,10,0,finance_lexicon_baseline,0.0,0.9,0.1,1.0
2020-12-07,MS,Financials,4,41,1,finance_lexicon_baseline,0.0,0.9512195121951219,0.04878048780487805,1.0
2020-12-07,NEE,Utilities,1,13,1,finance_lexicon_baseline,0.0,0.9230769230769231,0.07692307692307693,1.0
2020-12-07,NEM,Materials,2,13,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-07,NKE,Consumer,1,12,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-07,OXY,Energy,10,97,0,finance_lexicon_baseline,0.010309278350515464,0.9381443298969072,0.05154639175257732,0.6666666666666666
2020-12-07,QCOM,Tech,1,12,1,finance_lexicon_baseline,0.0,0.9166666666666666,0.08333333333333333,1.0
2020-12-07,SBUX,Consumer,3,33,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-07,SLB,Energy,2,21,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-07,T,Comm,9,97,3,finance_lexicon_baseline,0.0,0.9381443298969072,0.061855670103092786,1.0
2020-12-07,TTWO,Comm,2,21,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-07,UPS,Industrials,4,40,2,finance_lexicon_baseline,0.0,0.95,0.05,1.0
2020-12-07,V,Financials,5,37,1,finance_lexicon_baseline,0.02702702702702703,0.972972972972973,0.0,-1.0
2020-12-07,WFC,Financials,3,28,0,finance_lexicon_baseline,0.0,0.9642857142857143,0.03571428571428571,1.0
2020-12-07,WMT,Consumer,14,116,3,finance_lexicon_baseline,0.0,0.9568965517241379,0.04310344827586207,1.0
2020-12-07,XOM,Energy,12,119,2,finance_lexicon_baseline,0.008403361344537815,0.9243697478991597,0.06722689075630252,0.7777777777777778
2020-12-08,ADBE,Tech,2,17,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,AMD,Tech,3,31,2,finance_lexicon_baseline,0.0,0.935483870967742,0.06451612903225806,1.0
2020-12-08,AMGN,Healthcare,2,14,1,finance_lexicon_baseline,0.0,0.9285714285714286,0.07142857142857142,1.0
2020-12-08,BA,Industrials,9,81,0,finance_lexicon_baseline,0.024691358024691357,0.9382716049382716,0.037037037037037035,0.2
2020-12-08,CCI,RealEstate,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,CVX,Energy,1,4,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,D,Utilities,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,DIS,Consumer,8,77,1,finance_lexicon_baseline,0.012987012987012988,0.974025974025974,0.012987012987012988,0.0
2020-12-08,DUK,Utilities,1,13,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-08,EA,Comm,1,6,1,finance_lexicon_baseline,0.0,0.8333333333333334,0.16666666666666666,1.0
2020-12-08,GE,Industrials,6,52,2,finance_lexicon_baseline,0.038461538461538464,0.9615384615384616,0.0,-1.0
2020-12-08,GILD,Healthcare,1,9,2,finance_lexicon_baseline,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0
2020-12-08,GS,Financials,5,44,2,finance_lexicon_baseline,0.0,0.9318181818181819,0.06818181818181818,1.0
