date,sector,sentiment_score,ticker_count,tickers_with_headlines,headline_count,sentiment_lag1
2022-04-26,Tech,0.5072,5,5,22,0.62184
2022-04-26,Utilities,0.28776,5,4,4,0.43118
2022-04-27,Comm,0.15728,5,4,18,0.43504000000000004
2022-04-27,Consumer,0.26182000000000005,5,5,28,0.2894
2022-04-27,Energy,0.77756,5,5,28,0.4457
2022-04-27,Financials,0.22583999999999999,5,4,26,0.59164
2022-04-27,Healthcare,0.34336,5,5,20,-0.09694000000000003
2022-04-27,Industrials,0.26392,5,5,31,-0.06871999999999998
2022-04-27,Materials,0.0,5,2,3,0.3118
2022-04-27,RealEstate,0.18717999999999999,5,4,15,0.0
2022-04-27,Tech,0.49097999999999997,5,5,32,0.5072
2022-04-27,Utilities,0.022899999999999997,5,3,6,0.28776
2022-04-28,Comm,0.23556,5,5,14,0.15728
2022-04-28,Consumer,0.31852,5,5,13,0.26182000000000005
2022-04-28,Energy,0.74254,5,5,33,0.77756
2022-04-28,Financials,0.09034,5,5,18,0.22583999999999999
2022-04-28,Healthcare,0.35578000000000004,5,5,31,0.34336
2022-04-28,Industrials,-0.044700000000000004,5,5,23,0.26392
2022-04-28,Materials,-0.05464,5,3,6,0.0
2022-04-28,RealEstate,0.22944,5,2,4,0.18717999999999999
2022-04-28,Tech,0.2766,5,4,46,0.49097999999999997
2022-04-28,Utilities,0.44252,5,5,23,0.022899999999999997
2022-04-29,Comm,0.2584,5,4,12,0.23556
2022-04-29,Consumer,0.4615,5,5,32,0.31852
2022-04-29,Energy,0.11538,5,5,58,0.74254
2022-04-29,Financials,0.24164000000000002,5,3,5,0.09034
2022-04-29,Healthcare,0.29678,5,5,23,0.35578000000000004
2022-04-29,Industrials,0.54194,5,5,18,-0.044700000000000004
2022-04-29,Materials,0.0,5,1,1,-0.05464
2022-04-29,RealEstate,0.27603999999999995,5,4,9,0.22944
2022-04-29,Tech,0.050460000000000005,5,5,27,0.2766
2022-04-29,Utilities,0.3438,5,3,9,0.44252
2022-05-02,Comm,0.27376,5,5,12,0.2584
2022-05-02,Consumer,0.31504000000000004,5,5,25,0.4615
2022-05-02,Energy,0.6247,5,4,35,0.11538
2022-05-02,Financials,0.41302000000000005,5,4,14,0.24164000000000002
2022-05-02,Healthcare,0.4523400000000001,5,5,13,0.29678
2022-05-02,Industrials,0.13028,5,5,14,0.54194
2022-05-02,Materials,0.0,5,3,3,0.0
2022-05-02,RealEstate,0.10212000000000002,5,3,5,0.27603999999999995
2022-05-02,Tech,0.30857999999999997,5,5,33,0.050460000000000005
2022-05-02,Utilities,0.3694,5,3,12,0.3438
2022-05-03,Comm,-0.02981999999999998,5,3,7,0.27376
2022-05-03,Consumer,0.33212,5,5,25,0.31504000000000004
2022-05-03,Energy,0.59864,5,5,31,0.6247
2022-05-03,Financials,0.45546,5,5,13,0.41302000000000005
2022-05-03,Healthcare,-0.03062,5,2,3,0.4523400000000001
2022-05-03,Industrials,0.25076,5,4,7,0.13028
2022-05-03,Materials,-0.11717999999999999,5,1,9,0.0
2022-05-03,RealEstate,0.10212000000000002,5,2,4,0.10212000000000002
2022-05-03,Tech,0.252,5,5,41,0.30857999999999997
2022-05-03,Utilities,0.45242000000000004,5,5,10,0.3694
2022-05-04,Comm,0.024040000000000006,5,4,5,-0.02981999999999998
2022-05-04,Consumer,0.31286,5,5,31,0.33212
2022-05-04,Energy,0.15030000000000002,5,4,20,0.59864
2022-05-04,Financials,0.0,5,3,7,0.45546
2022-05-04,Healthcare,0.04046,5,4,6,-0.03062
2022-05-04,Industrials,0.0029800000000000048,5,5,8,0.25076
2022-05-04,Materials,0.1377,5,2,3,-0.11717999999999999
2022-05-04,RealEstate,0.11500000000000002,5,4,7,0.10212000000000002
2022-05-04,Tech,-0.3966,5,4,45,0.252
2022-05-04,Utilities,0.013800000000000002,5,3,11,0.45242000000000004
2022-05-05,Comm,-0.03798,5,4,9,0.024040000000000006
2022-05-05,Consumer,0.0017600000000000116,5,5,21,0.31286
2022-05-05,Energy,0.8295,5,5,40,0.15030000000000002
2022-05-05,Financials,0.21042,5,5,13,0.0
2022-05-05,Healthcare,0.19334,5,5,14,0.04046
2022-05-05,Industrials,-0.12794,5,5,18,0.0029800000000000048
2022-05-05,Materials,0.15453999999999998,5,2,3,0.1377
2022-05-05,RealEstate,0.07432,5,2,4,0.11500000000000002
2022-05-05,Tech,0.3858,5,5,25,-0.3966
2022-05-05,Utilities,0.16562000000000002,5,5,19,0.013800000000000002
2022-05-06,Comm,0.47194,5,5,14,-0.03798
2022-05-06,Consumer,0.25236000000000003,5,5,30,0.0017600000000000116
2022-05-06,Energy,0.63198,5,5,27,0.8295
2022-05-06,Financials,-0.23723999999999998,5,5,20,0.21042
2022-05-06,Healthcare,0.05464,5,4,8,0.19334
2022-05-06,Industrials,0.09739999999999999,5,3,3,-0.12794
2022-05-06,Materials,0.06608,5,3,5,0.15453999999999998
2022-05-06,RealEstate,0.05,5,3,6,0.07432
2022-05-06,Tech,0.19802000000000003,5,5,23,0.3858
2022-05-06,Utilities,0.21992000000000003,5,4,14,0.16562000000000002
2022-05-09,Comm,-0.14424,5,5,14,0.47194
2022-05-09,Consumer,0.48646,5,5,29,0.25236000000000003
2022-05-09,Energy,0.4584,5,4,34,0.63198
2022-05-09,Financials,0.08954000000000001,5,4,13,-0.23723999999999998
2022-05-09,Healthcare,0.10533999999999999,5,2,4,0.05464
2022-05-09,Industrials,0.19262,5,5,17,0.09739999999999999
2022-05-09,Materials,0.0,5,2,2,0.06608
2022-05-09,RealEstate,0.27106,5,5,7,0.05
2022-05-09,Tech,0.29434,5,5,33,0.19802000000000003
2022-05-09,Utilities,0.2403,5,4,12,0.21992000000000003
2022-05-10,Comm,0.03848,5,4,11,-0.14424
2022-05-10,Consumer,0.43066000000000004,5,5,24,0.48646
2022-05-10,Energy,0.31146,5,5,19,0.4584
2022-05-10,Financials,0.20415999999999998,5,4,13,0.08954000000000001
2022-05-10,Healthcare,0.27392000000000005,5,5,13,0.10533999999999999
2022-05-10,Industrials,0.19090000000000001,5,4,12,0.19262
2022-05-10,Materials,0.27372,5,4,8,0.0
2022-05-10,RealEstate,0.11896,5,5,15,0.27106
2022-05-10,Tech,0.58464,5,5,25,0.29434
2022-05-10,Utilities,0.0,5,1,1,0.2403
2022-05-11,Comm,0.20486,5,3,14,0.03848
2022-05-11,Consumer,0.14495999999999998,5,5,26,0.43066000000000004
2022-05-11,Energy,0.68078,5,4,23,0.31146
2022-05-11,Financials,0.21408,5,5,14,0.20415999999999998
2022-05-11,Healthcare,-0.12426000000000001,5,5,15,0.27392000000000005
2022-05-11,Industrials,0.08203999999999997,5,5,16,0.19090000000000001
2022-05-11,Materials,0.0,5,1,1,0.27372
2022-05-11,RealEstate,0.015439999999999999,5,3,5,0.11896
2022-05-11,Tech,0.40537999999999996,5,5,21,0.58464
2022-05-11,Utilities,0.10533999999999999,5,3,5,0.0
2022-05-12,Comm,0.027219999999999994,5,4,11,0.20486
2022-05-12,Consumer,-0.10552000000000002,5,5,33,0.14495999999999998
2022-05-12,Energy,0.45754,5,5,31,0.68078
2022-05-12,Financials,0.18504,5,4,11,0.21408
2022-05-12,Healthcare,0.06334,5,5,14,-0.12426000000000001
2022-05-12,Industrials,0.08071999999999999,5,4,11,0.08203999999999997
2022-05-12,Materials,0.4201,5,4,8,0.0
